epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2331.54,0.79648,0.72178,0.20534,0.76691,0.75898,0.78189,0.47753,0.38931,0.48504,0.12808,0.00333283,0.00333283,0.00333283
2,4592.71,0.78163,0.5387,0.15501,0.78355,0.7929,0.80278,0.49208,0.40611,0.48245,0.11099,0.00660017,0.00660017,0.00660017
3,6910.37,0.86405,0.52702,0.17243,0.80288,0.73808,0.78108,0.49832,0.38856,0.51955,0.10628,0.00980151,0.00980151,0.00980151
