epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,924.236,0.63072,0.51844,0.14704,0.8268,0.78375,0.78348,0.35866,0.59094,0.47654,0.13782,0.00333187,0.00333187,0.00333187
2,1687.24,0.67994,0.45426,0.1284,0.82487,0.81139,0.81456,0.34985,0.62763,0.4845,0.14383,0.00653323,0.00653323,0.00653323
3,2446.85,0.73845,0.49654,0.13706,0.76197,0.61867,0.62491,0.22053,0.8002,0.46404,0.17178,0.00960259,0.00960259,0.00960259
4,3195.82,0.77605,0.51005,0.14928,0.67813,0.7394,0.69496,0.27421,0.71084,0.51552,0.15469,0.009406,0.009406,0.009406
5,3925.88,0.78338,0.53579,0.15018,0.61015,0.65473,0.64843,0.24154,0.69901,0.57445,0.15646,0.009208,0.009208,0.009208
6,4647.19,0.74502,0.53168,0.13976,0.53939,0.62487,0.61697,0.25153,0.69449,0.59564,0.15268,0.00901,0.00901,0.00901
