epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,829.845,1.44001,1.86278,1.15218,0.71822,0.6272,0.69973,0.46634,1.01314,0.91521,0.96056,0.00333283,0.00333283,0.00333283
2,1509.14,1.41156,1.30892,1.14128,0.7514,0.65217,0.71952,0.46952,0.98736,0.84247,0.96957,0.00660017,0.00660017,0.00660017
3,2172.04,1.4625,1.31115,1.17872,0.72569,0.6349,0.69919,0.46423,1.01257,0.85609,0.99027,0.00980151,0.00980151,0.00980151
4,2831.03,1.44969,1.27838,1.18738,0.78047,0.70177,0.76334,0.51359,0.95019,0.74225,0.96315,0.009703,0.009703,0.009703
5,3490.34,1.36794,1.17469,1.15257,0.79329,0.71694,0.79082,0.53628,0.90022,0.68939,0.95009,0.009604,0.009604,0.009604
6,4150.25,1.3217,1.1167,1.13248,0.79822,0.73855,0.79907,0.55177,0.88098,0.65114,0.94164,0.009505,0.009505,0.009505
7,4809.56,1.28876,1.07637,1.11724,0.80668,0.74767,0.82358,0.56913,0.8502,0.61933,0.92671,0.009406,0.009406,0.009406
8,5469.49,1.25763,1.04096,1.10257,0.7873,0.7764,0.83625,0.58248,0.83307,0.59719,0.92208,0.009307,0.009307,0.009307
9,6129.53,1.23791,1.01732,1.09501,0.83863,0.75676,0.84469,0.5928,0.81653,0.57727,0.91425,0.009208,0.009208,0.009208
10,6789.15,1.22643,1.00128,1.0918,0.82692,0.78154,0.85243,0.59737,0.8126,0.56658,0.91294,0.009109,0.009109,0.009109
11,7448.49,1.21595,0.98913,1.0853,0.82387,0.7818,0.85222,0.60299,0.79965,0.5589,0.90749,0.00901,0.00901,0.00901
12,8108.7,1.20299,0.97535,1.07882,0.8244,0.77685,0.85563,0.60652,0.79218,0.54459,0.90572,0.008911,0.008911,0.008911
13,8769.29,1.19044,0.96102,1.07165,0.83678,0.77791,0.85722,0.60818,0.78984,0.53722,0.90433,0.008812,0.008812,0.008812
14,9430.67,1.18071,0.95133,1.06826,0.84737,0.77253,0.86016,0.61192,0.78721,0.53034,0.90293,0.008713,0.008713,0.008713
15,10091.5,1.17401,0.94109,1.06391,0.85584,0.76827,0.86065,0.61558,0.78213,0.52661,0.90122,0.008614,0.008614,0.008614
16,10751.6,1.16967,0.9349,1.05993,0.85889,0.76286,0.86166,0.61658,0.77876,0.52244,0.9001,0.008515,0.008515,0.008515
17,11411,1.15838,0.92637,1.0553,0.85403,0.77028,0.86186,0.61812,0.77505,0.51964,0.89873,0.008416,0.008416,0.008416
18,12071.4,1.14889,0.91431,1.05245,0.85678,0.76866,0.86366,0.6191,0.77224,0.51649,0.8977,0.008317,0.008317,0.008317
19,12730.2,1.14615,0.90758,1.05191,0.85619,0.7734,0.86557,0.62164,0.76991,0.51263,0.89714,0.008218,0.008218,0.008218
20,13388.7,1.1445,0.90475,1.05042,0.84981,0.77897,0.86726,0.62255,0.76734,0.51063,0.89635,0.008119,0.008119,0.008119
21,14047.6,1.14056,0.89731,1.04985,0.84108,0.78697,0.86966,0.62454,0.76511,0.5082,0.89543,0.00802,0.00802,0.00802
22,14708.3,1.1341,0.8951,1.04465,0.84508,0.78435,0.86978,0.62444,0.764,0.50556,0.89502,0.007921,0.007921,0.007921
