epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5876.48,1.61221,0.58582,0.00534,0.83107,0.8533,0.85704,0.41406,1.86568,0.79343,0.00751,0.000990365,0.000990365,0.000990365
43,6012.03,1.58638,0.57097,0.00528,0.85185,0.83708,0.8626,0.41573,1.84937,0.80469,0.0075,0.000973861,0.000973861,0.000973861
44,6147.68,1.58465,0.54341,0.0052,0.84726,0.84618,0.87212,0.42516,1.88044,0.73441,0.00759,0.000957358,0.000957358,0.000957358
45,6283.54,1.57793,0.55824,0.00507,0.83686,0.85639,0.85195,0.40782,1.88959,0.79028,0.00766,0.000940855,0.000940855,0.000940855
46,6419.22,1.56061,0.533,0.00518,0.8587,0.81075,0.86823,0.42308,1.89228,0.78093,0.00752,0.000924352,0.000924352,0.000924352
47,6554.66,1.53862,0.53323,0.00507,0.86493,0.82725,0.87126,0.42472,1.87464,0.77003,0.00756,0.000907848,0.000907848,0.000907848
48,6690.2,1.51936,0.53216,0.00506,0.88374,0.82305,0.88212,0.42338,1.89466,0.73514,0.00763,0.000891345,0.000891345,0.000891345
49,6825.81,1.5199,0.52518,0.00504,0.81444,0.86102,0.86512,0.4271,1.88078,0.7413,0.00754,0.000874842,0.000874842,0.000874842
50,6961.47,1.49305,0.51249,0.00488,0.837,0.87116,0.88393,0.42758,1.88131,0.76544,0.00753,0.000858338,0.000858338,0.000858338
51,7097.16,1.48575,0.50118,0.00493,0.85827,0.84136,0.87737,0.42978,1.86076,0.77187,0.00741,0.000841835,0.000841835,0.000841835
52,7238.55,1.48201,0.4937,0.00491,0.85832,0.86905,0.89066,0.43561,1.88139,0.75435,0.00753,0.000825332,0.000825332,0.000825332
