epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,25098.2,1.06339,0.8143,1.0132,0.86419,0.78626,0.87536,0.64077,0.73075,0.46611,0.88105,0.005842,0.005842,0.005842
44,25676.2,1.05954,0.80553,1.01277,0.87283,0.78339,0.87586,0.64073,0.72946,0.46481,0.88078,0.005743,0.005743,0.005743
45,26254,1.05675,0.80565,1.01178,0.8587,0.79481,0.87608,0.6421,0.72854,0.46283,0.88058,0.005644,0.005644,0.005644
46,26831.6,1.05725,0.80521,1.01262,0.86858,0.79084,0.87728,0.64323,0.72701,0.4616,0.88018,0.005545,0.005545,0.005545
47,27408.7,1.05166,0.80156,1.01034,0.85452,0.80067,0.87684,0.644,0.72556,0.46061,0.87988,0.005446,0.005446,0.005446
48,27986,1.05183,0.79453,1.00838,0.87518,0.77829,0.87747,0.64408,0.72461,0.45934,0.87965,0.005347,0.005347,0.005347
49,28563.4,1.04808,0.79609,1.00853,0.88997,0.7712,0.87704,0.64441,0.72345,0.45846,0.87932,0.005248,0.005248,0.005248
50,29141.4,1.0447,0.79215,1.00593,0.89386,0.76914,0.87636,0.6445,0.7215,0.45709,0.87871,0.005149,0.005149,0.005149
51,29719.3,1.04094,0.7883,1.00481,0.885,0.77309,0.87584,0.6454,0.71984,0.45552,0.87822,0.00505,0.00505,0.00505
52,30296.7,1.04098,0.78829,1.0039,0.88011,0.77702,0.87448,0.64562,0.71804,0.4539,0.87764,0.004951,0.004951,0.004951
53,30873.3,1.03316,0.77696,1.00196,0.87385,0.78172,0.87456,0.64605,0.71677,0.45252,0.87709,0.004852,0.004852,0.004852
54,31451.5,1.03291,0.77888,0.99877,0.86502,0.7927,0.87438,0.6465,0.71519,0.45082,0.87655,0.004753,0.004753,0.004753
55,32028.5,1.02871,0.77515,0.9985,0.87088,0.78952,0.87334,0.64621,0.71375,0.44861,0.87582,0.004654,0.004654,0.004654
56,32605.5,1.02778,0.77512,0.9975,0.87149,0.78808,0.87352,0.64686,0.71222,0.44711,0.87548,0.004555,0.004555,0.004555
57,33182.8,1.02563,0.77079,0.99823,0.87203,0.7884,0.87447,0.64738,0.71115,0.44604,0.87511,0.004456,0.004456,0.004456
58,33760.7,1.01656,0.76659,0.99565,0.86375,0.79236,0.87509,0.64776,0.70998,0.44482,0.87463,0.004357,0.004357,0.004357
59,34336.9,1.0187,0.7645,0.99586,0.86175,0.79479,0.87431,0.6483,0.70881,0.4439,0.87426,0.004258,0.004258,0.004258
60,34914.1,1.0145,0.76057,0.99294,0.85462,0.80009,0.87371,0.64838,0.70754,0.44229,0.87372,0.004159,0.004159,0.004159
61,35490.3,1.01275,0.75782,0.99284,0.85366,0.79985,0.87372,0.64835,0.7065,0.44101,0.87339,0.00406,0.00406,0.00406
62,36068.2,1.00561,0.75413,0.98894,0.84874,0.80529,0.87403,0.6498,0.70529,0.44016,0.87292,0.003961,0.003961,0.003961
63,36645,1.00585,0.75583,0.99024,0.84946,0.80508,0.87425,0.65035,0.70401,0.43942,0.87267,0.003862,0.003862,0.003862
64,37221.4,1.0034,0.75081,0.98851,0.84574,0.8073,0.8751,0.65084,0.70249,0.43808,0.87231,0.003763,0.003763,0.003763
65,37804,0.99413,0.7417,0.98645,0.85154,0.8019,0.8748,0.65172,0.70136,0.43659,0.87195,0.003664,0.003664,0.003664
66,38381.3,0.99083,0.74052,0.98452,0.85271,0.80253,0.87487,0.65128,0.70084,0.43547,0.87188,0.003565,0.003565,0.003565
67,38959.6,0.99521,0.73914,0.98493,0.84646,0.80591,0.87459,0.65161,0.69998,0.43426,0.87165,0.003466,0.003466,0.003466
68,39538.1,0.98841,0.73106,0.98386,0.85515,0.80189,0.87459,0.65205,0.699,0.4334,0.87146,0.003367,0.003367,0.003367
69,40116.2,0.98311,0.7293,0.98069,0.85848,0.80117,0.87358,0.65179,0.69781,0.43243,0.87125,0.003268,0.003268,0.003268
70,40694.1,0.97937,0.72451,0.97805,0.86697,0.79317,0.87256,0.65224,0.6968,0.43109,0.87097,0.003169,0.003169,0.003169
71,41273.1,0.98103,0.72482,0.97959,0.85411,0.8007,0.87295,0.65314,0.69599,0.43016,0.87085,0.00307,0.00307,0.00307
72,41852.4,0.97229,0.71661,0.97536,0.85878,0.79976,0.87241,0.65317,0.69446,0.42901,0.87041,0.002971,0.002971,0.002971
73,42430.9,0.97192,0.71998,0.97704,0.86467,0.7971,0.87369,0.65428,0.69332,0.42803,0.87007,0.002872,0.002872,0.002872
74,43008.6,0.96937,0.71281,0.97467,0.86843,0.79795,0.87437,0.65457,0.69207,0.42692,0.86966,0.002773,0.002773,0.002773
75,43587,0.96411,0.70808,0.97383,0.86255,0.80238,0.87456,0.65469,0.69076,0.42587,0.86908,0.002674,0.002674,0.002674
76,44165.5,0.96207,0.70605,0.97165,0.86422,0.80047,0.87502,0.65532,0.69005,0.42507,0.86868,0.002575,0.002575,0.002575
77,44743.8,0.95649,0.70198,0.96931,0.86507,0.80004,0.87465,0.65591,0.68897,0.42355,0.86841,0.002476,0.002476,0.002476
