epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1614.33,1.31249,0.68643,1.01639,0.85983,0.85263,0.83712,0.40551,1.89495,0.96307,1.32135,0.000990365,0.000990365,0.000990365
43,1651.92,1.3004,0.68879,1.01347,0.86997,0.86316,0.85592,0.41633,1.88638,0.90116,1.30522,0.000973861,0.000973861,0.000973861
44,1689.54,1.2962,0.68684,1.01249,0.85858,0.83158,0.84006,0.41502,1.88191,0.90092,1.34389,0.000957358,0.000957358,0.000957358
45,1726.93,1.28142,0.67413,1.00345,0.85356,0.83852,0.84089,0.42124,1.87285,0.94494,1.31668,0.000940855,0.000940855,0.000940855
46,1764.46,1.27456,0.66824,1.00396,0.82841,0.84702,0.84135,0.40375,1.91796,0.96112,1.34457,0.000924352,0.000924352,0.000924352
47,1801.93,1.25664,0.65272,0.99944,0.85868,0.83158,0.84499,0.4177,1.91974,0.94915,1.33388,0.000907848,0.000907848,0.000907848
48,1839.61,1.27934,0.66713,1.00472,0.82266,0.85263,0.82807,0.41099,1.89188,0.90241,1.33503,0.000891345,0.000891345,0.000891345
49,1877.28,1.24925,0.65555,0.99813,0.84322,0.86316,0.84836,0.41816,1.88213,0.92991,1.33109,0.000874842,0.000874842,0.000874842
50,1914.98,1.24078,0.65891,0.98868,0.89204,0.84076,0.86939,0.42352,1.91622,0.91513,1.35178,0.000858338,0.000858338,0.000858338
51,1952.94,1.2248,0.63981,0.99048,0.84303,0.86682,0.85493,0.42539,1.84836,0.91145,1.32373,0.000841835,0.000841835,0.000841835
52,1990.68,1.22283,0.63354,0.991,0.82638,0.86841,0.84679,0.41688,1.86408,0.92536,1.33691,0.000825332,0.000825332,0.000825332
