epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1610.7,1.44107,0.71488,1.04916,0.83241,0.84431,0.87489,0.39601,1.90297,0.85696,1.31119,0.000990365,0.000990365,0.000990365
43,1648.03,1.40249,0.69918,1.03161,0.8545,0.80832,0.85898,0.40312,1.86423,0.86249,1.28674,0.000973861,0.000973861,0.000973861
44,1684.98,1.39212,0.69258,1.0337,0.84292,0.83183,0.86969,0.40012,1.87533,0.8689,1.29101,0.000957358,0.000957358,0.000957358
45,1725.42,1.39226,0.69402,1.03067,0.86608,0.81374,0.85614,0.38928,1.88368,0.82166,1.29232,0.000940855,0.000940855,0.000940855
46,1767.07,1.38032,0.6913,1.0269,0.82853,0.8388,0.85715,0.40228,1.86402,0.83497,1.29058,0.000924352,0.000924352,0.000924352
47,1806.26,1.394,0.68264,1.028,0.83392,0.80651,0.84806,0.38925,1.89218,0.85321,1.30213,0.000907848,0.000907848,0.000907848
48,1846.69,1.37203,0.67005,1.02534,0.8384,0.82561,0.86182,0.40524,1.85114,0.84463,1.28117,0.000891345,0.000891345,0.000891345
49,1885.14,1.3693,0.68255,1.02799,0.87884,0.81736,0.87334,0.39826,1.8675,0.85056,1.28191,0.000874842,0.000874842,0.000874842
50,1923.52,1.33448,0.65941,1.01587,0.85235,0.82469,0.866,0.39712,1.88797,0.8635,1.31173,0.000858338,0.000858338,0.000858338
51,1961.58,1.33613,0.66325,1.00765,0.86385,0.80651,0.85614,0.39919,1.88233,0.85957,1.29266,0.000841835,0.000841835,0.000841835
52,1999.73,1.33748,0.66264,1.01221,0.85593,0.83183,0.86726,0.40318,1.86117,0.84925,1.29108,0.000825332,0.000825332,0.000825332
53,2039.08,1.32359,0.64951,1.00476,0.85632,0.82983,0.86174,0.39459,1.87439,0.84104,1.29433,0.000808828,0.000808828,0.000808828
54,2078.67,1.31863,0.64693,1.00194,0.83801,0.86999,0.87283,0.4061,1.85656,0.82819,1.28739,0.000792325,0.000792325,0.000792325
55,2116.87,1.30693,0.64492,1.00138,0.87066,0.83995,0.88918,0.40988,1.86594,0.83376,1.29099,0.000775822,0.000775822,0.000775822
56,2154.87,1.29779,0.63937,1.00162,0.8441,0.84448,0.86819,0.4042,1.88595,0.84174,1.3024,0.000759318,0.000759318,0.000759318
57,2192.83,1.30742,0.63221,1.00359,0.84971,0.82817,0.86887,0.39776,1.88911,0.81805,1.29872,0.000742815,0.000742815,0.000742815
58,2230.84,1.30291,0.636,1.00084,0.86422,0.81555,0.86931,0.40329,1.86453,0.83076,1.29808,0.000726312,0.000726312,0.000726312
59,2269.21,1.281,0.62964,0.99558,0.81996,0.84991,0.86896,0.40269,1.87001,0.84033,1.3048,0.000709809,0.000709809,0.000709809
60,2307.21,1.26239,0.6186,0.99033,0.84696,0.81736,0.86416,0.40351,1.86096,0.81946,1.30847,0.000693305,0.000693305,0.000693305
61,2345.82,1.2545,0.61563,0.9855,0.85906,0.80108,0.86444,0.39953,1.87765,0.84531,1.3071,0.000676802,0.000676802,0.000676802
62,2383.81,1.26172,0.61937,0.99077,0.85527,0.81374,0.86483,0.40011,1.87821,0.84409,1.31063,0.000660299,0.000660299,0.000660299
63,2420.65,1.26322,0.61985,0.98687,0.85687,0.81193,0.85627,0.40068,1.87979,0.84547,1.31836,0.000643795,0.000643795,0.000643795
64,2457.69,1.239,0.60386,0.98253,0.83356,0.80601,0.85179,0.3915,1.88793,0.85514,1.32695,0.000627292,0.000627292,0.000627292
65,2496.64,1.24102,0.6122,0.98133,0.82568,0.84629,0.86664,0.39112,1.88888,0.85823,1.31246,0.000610789,0.000610789,0.000610789
66,2536.01,1.22753,0.6043,0.97764,0.85398,0.82459,0.86952,0.40539,1.85772,0.84276,1.2958,0.000594286,0.000594286,0.000594286
67,2575.18,1.21817,0.60135,0.97212,0.87681,0.783,0.86188,0.40828,1.856,0.83464,1.30781,0.000577782,0.000577782,0.000577782
68,2614.26,1.2118,0.59357,0.97201,0.85934,0.80289,0.86386,0.4057,1.87339,0.83314,1.31772,0.000561279,0.000561279,0.000561279
69,2654.02,1.20386,0.59199,0.96837,0.86753,0.79747,0.86367,0.40099,1.88534,0.8608,1.32199,0.000544776,0.000544776,0.000544776
70,2692.78,1.20016,0.59024,0.9709,0.86472,0.81736,0.87259,0.39968,1.89618,0.82856,1.33148,0.000528272,0.000528272,0.000528272
71,2731.56,1.19181,0.59045,0.97449,0.84735,0.81308,0.86263,0.39833,1.8963,0.84895,1.33281,0.000511769,0.000511769,0.000511769
72,2770.63,1.1825,0.58088,0.96881,0.86633,0.80865,0.87058,0.3984,1.88637,0.84804,1.32841,0.000495266,0.000495266,0.000495266
73,2812.34,1.19054,0.59236,0.96442,0.85952,0.8077,0.86036,0.39513,1.87515,0.8504,1.32924,0.000478762,0.000478762,0.000478762
74,2856.46,1.16077,0.56792,0.95915,0.84457,0.82821,0.86406,0.40554,1.88666,0.8485,1.3273,0.000462259,0.000462259,0.000462259
75,2897.33,1.18115,0.57767,0.9579,0.84747,0.80651,0.86195,0.3987,1.90591,0.85981,1.34177,0.000445756,0.000445756,0.000445756
76,2936.01,1.15924,0.57082,0.95798,0.83411,0.82459,0.85944,0.39859,1.89755,0.8439,1.33297,0.000429253,0.000429253,0.000429253
77,2974.13,1.14702,0.5672,0.95527,0.84674,0.82821,0.87152,0.4049,1.90202,0.8179,1.34052,0.000412749,0.000412749,0.000412749
78,3012.24,1.14702,0.56524,0.95544,0.84873,0.82179,0.87333,0.4086,1.87918,0.82521,1.33202,0.000396246,0.000396246,0.000396246
79,3050.27,1.1396,0.56431,0.95345,0.83794,0.82283,0.86858,0.40725,1.87388,0.83522,1.3229,0.000379743,0.000379743,0.000379743
80,3088.37,1.11677,0.55004,0.9455,0.82697,0.83833,0.86901,0.40265,1.88901,0.83191,1.33867,0.000363239,0.000363239,0.000363239
81,3126.37,1.1219,0.5545,0.95047,0.8459,0.8338,0.87586,0.4016,1.88697,0.83626,1.33801,0.000346736,0.000346736,0.000346736
82,3164.75,1.12293,0.55319,0.94699,0.83285,0.83796,0.87042,0.40292,1.89575,0.84681,1.33679,0.000330233,0.000330233,0.000330233
83,3203.42,1.11666,0.55629,0.9487,0.86509,0.8001,0.86082,0.39703,1.89353,0.8479,1.34417,0.000313729,0.000313729,0.000313729
84,3241.61,1.11397,0.55118,0.9438,0.86237,0.80289,0.86418,0.4024,1.88134,0.85176,1.33347,0.000297226,0.000297226,0.000297226
85,3279.77,1.10032,0.54843,0.94237,0.84542,0.8264,0.86767,0.39949,1.89029,0.85482,1.33709,0.000280723,0.000280723,0.000280723
86,3317.86,1.10963,0.55126,0.94281,0.83941,0.81374,0.85987,0.39785,1.89353,0.86031,1.34192,0.00026422,0.00026422,0.00026422
87,3356.12,1.09363,0.54776,0.93551,0.86501,0.80832,0.86235,0.39723,1.89284,0.86729,1.34726,0.000247716,0.000247716,0.000247716
88,3394.14,1.08401,0.53883,0.94074,0.86084,0.79385,0.86742,0.39873,1.90277,0.86182,1.34804,0.000231213,0.000231213,0.000231213
89,3432.31,1.08648,0.54107,0.94074,0.87407,0.8047,0.87523,0.40544,1.89321,0.84132,1.34075,0.00021471,0.00021471,0.00021471
90,3470.44,1.07939,0.53785,0.93435,0.83748,0.82821,0.86943,0.40883,1.88747,0.84536,1.34419,0.000198206,0.000198206,0.000198206
91,3531.02,1.01804,0.49317,0.93537,0.86446,0.80832,0.86279,0.3969,1.89859,0.85612,1.34716,0.000181703,0.000181703,0.000181703
92,3567,0.99396,0.47951,0.92822,0.86151,0.79869,0.85904,0.39611,1.89772,0.85523,1.34686,0.0001652,0.0001652,0.0001652
93,3603.33,0.9908,0.4744,0.92888,0.84032,0.81842,0.86347,0.39855,1.89985,0.86019,1.35413,0.000148696,0.000148696,0.000148696
94,3639.38,0.96894,0.46804,0.92266,0.85443,0.80289,0.86159,0.39916,1.90544,0.86555,1.35672,0.000132193,0.000132193,0.000132193
95,3675.53,0.96102,0.46231,0.92152,0.87144,0.79672,0.86149,0.39903,1.89672,0.86152,1.35285,0.00011569,0.00011569,0.00011569
96,3711.62,0.94998,0.46251,0.91924,0.85095,0.81559,0.86322,0.40054,1.89739,0.86194,1.35799,9.91865e-05,9.91865e-05,9.91865e-05
97,3747.64,0.96035,0.46504,0.92385,0.84165,0.8264,0.8604,0.39672,1.9005,0.86383,1.35933,8.26832e-05,8.26832e-05,8.26832e-05
98,3783.54,0.95402,0.45892,0.91788,0.84719,0.8221,0.86204,0.39761,1.90194,0.86766,1.36311,6.61799e-05,6.61799e-05,6.61799e-05
99,3819.49,0.94212,0.45583,0.91439,0.84806,0.82278,0.86147,0.39914,1.90115,0.86568,1.364,4.96766e-05,4.96766e-05,4.96766e-05
100,3855.67,0.9424,0.45875,0.91291,0.84716,0.82459,0.86211,0.39975,1.90077,0.86639,1.36235,3.31733e-05,3.31733e-05,3.31733e-05
