epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,52094.7,1.36717,0.98621,0.0044,0.89475,0.81216,0.89814,0.70541,0.65794,0.32903,0.00357,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,53682.3,1.37247,0.9895,0.00435,0.88595,0.81828,0.89836,0.70646,0.65572,0.32813,0.00355,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,55268.6,1.36874,0.97694,0.00433,0.89246,0.81482,0.89761,0.70674,0.65406,0.32747,0.00353,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,56856.1,1.36261,0.9799,0.0043,0.89203,0.8122,0.89693,0.7072,0.65125,0.32726,0.0035,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,58443.4,1.35815,0.97377,0.00431,0.89128,0.81272,0.8968,0.7088,0.64906,0.32605,0.0035,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,60031.3,1.35187,0.96684,0.00424,0.89194,0.81449,0.89724,0.70915,0.64804,0.32431,0.00349,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,61619.7,1.34122,0.95743,0.00427,0.89435,0.81382,0.89742,0.70838,0.64588,0.32356,0.00348,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,63207.4,1.34101,0.95854,0.00422,0.90256,0.81081,0.89677,0.70826,0.64387,0.32208,0.00348,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,64800.8,1.33986,0.95641,0.00422,0.90091,0.80969,0.89658,0.70871,0.64325,0.32093,0.00348,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,66384.1,1.33239,0.94799,0.00416,0.9033,0.80852,0.89603,0.70915,0.64169,0.32078,0.00347,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,67972.1,1.32341,0.93622,0.00418,0.90067,0.81043,0.89748,0.70919,0.64029,0.3209,0.00347,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,69556.6,1.32398,0.94065,0.00412,0.90924,0.80219,0.89724,0.70991,0.63753,0.32131,0.00345,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,71147.3,1.31858,0.92869,0.00409,0.89946,0.80934,0.89787,0.71042,0.63514,0.32054,0.00343,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,72730.1,1.3133,0.92648,0.00405,0.90844,0.81171,0.89952,0.71288,0.63542,0.31768,0.00344,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,74314.8,1.31404,0.9314,0.00407,0.90835,0.81205,0.89898,0.71306,0.63391,0.31695,0.00343,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,75896.3,1.30872,0.92466,0.00403,0.90506,0.81549,0.89996,0.71413,0.63244,0.31774,0.00341,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,77480.4,1.30225,0.91551,0.00402,0.91127,0.81452,0.89938,0.71379,0.63121,0.31765,0.00341,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,79068.6,1.29838,0.91206,0.00398,0.91291,0.81654,0.9019,0.71534,0.62984,0.31478,0.00339,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,80650.8,1.29402,0.90669,0.00395,0.91583,0.81015,0.90174,0.71558,0.62751,0.31635,0.00338,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,82235.4,1.28664,0.90171,0.00394,0.91539,0.81515,0.90098,0.71534,0.62582,0.31459,0.00337,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,83816.3,1.28972,0.90345,0.00389,0.91961,0.81024,0.90109,0.71674,0.62515,0.31325,0.00338,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,85399.6,1.27572,0.89234,0.00388,0.92034,0.81258,0.90011,0.71724,0.62355,0.31191,0.00338,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,86980.7,1.2713,0.88744,0.00382,0.91836,0.8133,0.89898,0.71714,0.62192,0.31034,0.00337,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,88562.9,1.26121,0.88538,0.0038,0.90897,0.81987,0.89889,0.71765,0.61993,0.31167,0.00335,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,90146.1,1.26744,0.88278,0.00381,0.91231,0.81577,0.8983,0.71891,0.61842,0.31273,0.00335,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,91730.2,1.26057,0.87363,0.00381,0.913,0.8194,0.89844,0.71872,0.61774,0.31069,0.00335,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,93313.3,1.25332,0.87036,0.00378,0.90608,0.82234,0.89789,0.71912,0.61562,0.31113,0.00333,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,94898.8,1.24599,0.86258,0.00374,0.90329,0.82584,0.89858,0.71918,0.61433,0.30972,0.00333,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,96484.3,1.24019,0.86002,0.00368,0.90777,0.82565,0.89887,0.72063,0.61253,0.30969,0.00332,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,98070.9,1.23452,0.85049,0.00368,0.9045,0.82522,0.89752,0.72059,0.61302,0.30881,0.00333,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
