epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1041.26,1.10766,1.28812,0.98859,0.8719,0.75496,0.85432,0.64788,0.8668,0.72514,0.88589,0.00333288,0.00333288,0.00333288
2,1866.29,1.02553,0.84415,0.96545,0.86443,0.80218,0.88085,0.68102,0.82333,0.63673,0.88811,0.00633624,0.00633624,0.00633624
3,2586.28,1.04151,0.83066,0.98187,0.86893,0.80103,0.88045,0.68504,0.81757,0.62888,0.89463,0.00900959,0.00900959,0.00900959
4,3248.04,1.01037,0.79087,0.97725,0.87281,0.83387,0.89757,0.71193,0.77245,0.55294,0.88436,0.008515,0.008515,0.008515
5,3909.96,0.9411,0.72138,0.9547,0.88022,0.8429,0.90478,0.72808,0.73918,0.52191,0.87532,0.00802,0.00802,0.00802
6,4572.53,0.89105,0.67365,0.93718,0.9007,0.84472,0.91784,0.74477,0.70992,0.47903,0.86429,0.007525,0.007525,0.007525
7,5272.93,0.86266,0.64362,0.92956,0.90029,0.85607,0.92453,0.75412,0.69801,0.46015,0.86025,0.00703,0.00703,0.00703
8,6015.8,0.83665,0.62073,0.92083,0.91152,0.85559,0.9271,0.75857,0.68407,0.44503,0.85561,0.006535,0.006535,0.006535
9,6723.26,0.81379,0.59613,0.91242,0.91358,0.86608,0.93123,0.76591,0.67219,0.43343,0.85131,0.00604,0.00604,0.00604
10,7413.35,0.79669,0.57924,0.90804,0.91366,0.86761,0.93449,0.77186,0.6599,0.42195,0.84637,0.005545,0.005545,0.005545
11,8145.12,0.74302,0.519,0.87964,0.92834,0.86341,0.9358,0.7747,0.65445,0.41509,0.84325,0.00505,0.00505,0.00505
12,8863.99,0.72017,0.49553,0.87442,0.92173,0.87391,0.93789,0.77772,0.65059,0.40838,0.84245,0.004555,0.004555,0.004555
13,9565.76,0.70165,0.47677,0.86725,0.93262,0.86646,0.93929,0.7809,0.64444,0.40129,0.84034,0.00406,0.00406,0.00406
14,10267.5,0.68293,0.45825,0.86118,0.93532,0.86932,0.93992,0.78408,0.63822,0.39605,0.8383,0.003565,0.003565,0.003565
15,10932.7,0.66373,0.43957,0.85607,0.92968,0.8751,0.94124,0.78666,0.63417,0.39138,0.83716,0.00307,0.00307,0.00307
16,11582.8,0.64503,0.42259,0.8494,0.93381,0.87562,0.94242,0.78884,0.63022,0.38821,0.83606,0.002575,0.002575,0.002575
17,12221.9,0.62876,0.40549,0.84531,0.92912,0.88287,0.94363,0.79007,0.62568,0.38439,0.83484,0.00208,0.00208,0.00208
18,12862.9,0.6115,0.38967,0.84033,0.93034,0.88405,0.94441,0.79152,0.62212,0.3803,0.83374,0.001585,0.001585,0.001585
19,13542.4,0.59188,0.37179,0.83529,0.93359,0.8823,0.94515,0.79273,0.61912,0.37727,0.83276,0.00109,0.00109,0.00109
20,14230.1,0.57237,0.3549,0.83004,0.9329,0.88401,0.94563,0.79462,0.61648,0.37458,0.83198,0.000595,0.000595,0.000595
