epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8485,2.16682,1.49388,0.0066,0.71509,0.7304,0.73664,0.31491,2.0531,1.12238,0.00806,0.00055323,0.00055323,0.00055323
2,146.373,2.07676,1.14462,0.0063,0.72643,0.72779,0.7471,0.31963,2.02034,1.0785,0.00794,0.00108694,0.00108694,0.00108694
3,204.213,2.06144,1.15567,0.00637,0.72544,0.80257,0.77956,0.30654,2.05888,1.0205,0.00808,0.00159865,0.00159865,0.00159865
4,268.32,2.00995,1.12753,0.00615,0.80207,0.7179,0.79836,0.32759,2.04974,1.00238,0.00805,0.00156798,0.00156798,0.00156798
5,326.503,2.0287,1.08802,0.00624,0.75988,0.76658,0.7873,0.33605,2.0416,0.96775,0.0081,0.00153497,0.00153497,0.00153497
6,392.856,1.99715,1.06672,0.00587,0.76703,0.77326,0.8032,0.35335,1.98307,0.92509,0.00789,0.00150197,0.00150197,0.00150197
7,449.087,1.97304,0.99706,0.00608,0.79769,0.75869,0.78947,0.34474,1.97971,0.94025,0.00783,0.00146896,0.00146896,0.00146896
8,506.334,1.94257,0.99035,0.00589,0.81772,0.75582,0.83678,0.37286,1.90664,0.88929,0.0075,0.00143595,0.00143595,0.00143595
9,571.601,1.92274,0.98184,0.00589,0.746,0.74193,0.7747,0.33906,1.96249,1.01453,0.00772,0.00140295,0.00140295,0.00140295
10,625.159,1.91405,0.94292,0.00581,0.7733,0.80918,0.82672,0.37356,1.96482,0.8196,0.0076,0.00136994,0.00136994,0.00136994
11,679.009,1.90047,0.90998,0.00581,0.82669,0.79093,0.83467,0.39124,1.91164,0.86074,0.00757,0.00133693,0.00133693,0.00133693
12,737.481,1.86457,0.88891,0.0056,0.80233,0.79279,0.81891,0.37978,1.90033,0.87408,0.00755,0.00130393,0.00130393,0.00130393
13,796.851,1.8748,0.8752,0.00569,0.78926,0.79116,0.81732,0.38884,1.89077,0.88367,0.00738,0.00127092,0.00127092,0.00127092
14,863.9,1.85386,0.87957,0.00558,0.79592,0.80671,0.83687,0.39393,1.88918,0.83908,0.00748,0.00123791,0.00123791,0.00123791
15,917.599,1.81496,0.82862,0.00536,0.82753,0.83601,0.85935,0.3993,1.86698,0.8136,0.00731,0.00120491,0.00120491,0.00120491
16,971.139,1.79493,0.83181,0.00527,0.80661,0.80564,0.82482,0.39409,1.88475,0.82096,0.00745,0.0011719,0.0011719,0.0011719
17,1024.44,1.77622,0.79212,0.00526,0.79146,0.83277,0.8491,0.40161,1.85992,0.85062,0.00733,0.00113889,0.00113889,0.00113889
18,1078.36,1.77578,0.79682,0.00525,0.83945,0.82186,0.86327,0.40946,1.89066,0.80184,0.00738,0.00110589,0.00110589,0.00110589
19,1138.84,1.77267,0.78332,0.00524,0.8307,0.82463,0.84431,0.38596,1.89363,0.8363,0.00744,0.00107288,0.00107288,0.00107288
20,1201.17,1.7441,0.74427,0.00515,0.8155,0.84431,0.85527,0.41133,1.87285,0.75735,0.00724,0.00103987,0.00103987,0.00103987
21,1268.07,1.73969,0.76905,0.00512,0.85889,0.82255,0.8789,0.41822,1.87525,0.75863,0.00728,0.00100687,0.00100687,0.00100687
22,1332.26,1.7082,0.695,0.00499,0.84946,0.8252,0.86512,0.42148,1.89015,0.7151,0.00741,0.000973861,0.000973861,0.000973861
23,1395.28,1.70998,0.71682,0.00503,0.84363,0.85123,0.87384,0.41998,1.86343,0.72944,0.00733,0.000940855,0.000940855,0.000940855
24,1452.89,1.69364,0.71307,0.00501,0.8391,0.84328,0.85934,0.411,1.88529,0.77718,0.00737,0.000907848,0.000907848,0.000907848
25,1505.62,1.66259,0.67626,0.00491,0.84741,0.85015,0.86077,0.41081,1.8886,0.75595,0.00735,0.000874842,0.000874842,0.000874842
26,1558.47,1.68502,0.6898,0.00486,0.83177,0.84464,0.87219,0.42014,1.87722,0.74696,0.00726,0.000841835,0.000841835,0.000841835
27,1611.34,1.65367,0.66887,0.00482,0.82897,0.84659,0.86502,0.41861,1.86813,0.75265,0.00732,0.000808828,0.000808828,0.000808828
28,1664.19,1.63493,0.65434,0.00479,0.83783,0.85393,0.85712,0.41748,1.86808,0.7449,0.00722,0.000775822,0.000775822,0.000775822
29,1717.3,1.60527,0.65305,0.0047,0.83834,0.85011,0.86225,0.41151,1.89748,0.74516,0.00748,0.000742815,0.000742815,0.000742815
30,1770.17,1.5956,0.64316,0.0046,0.86776,0.84317,0.87755,0.42477,1.86613,0.73829,0.00725,0.000709809,0.000709809,0.000709809
31,1822.67,1.56746,0.60366,0.00456,0.84321,0.87089,0.87579,0.42888,1.87832,0.72596,0.00727,0.000676802,0.000676802,0.000676802
32,1875.46,1.56997,0.60448,0.00454,0.85928,0.84372,0.8691,0.42782,1.87348,0.72534,0.00728,0.000643795,0.000643795,0.000643795
33,1927.8,1.56503,0.60451,0.00438,0.85152,0.85411,0.86902,0.4271,1.86145,0.76201,0.00722,0.000610789,0.000610789,0.000610789
34,1982.78,1.53857,0.58449,0.00447,0.86016,0.86259,0.87877,0.4307,1.85801,0.69615,0.00722,0.000577782,0.000577782,0.000577782
35,2038.13,1.51286,0.5604,0.00435,0.8682,0.85667,0.87611,0.43205,1.85914,0.72512,0.00722,0.000544776,0.000544776,0.000544776
36,2095.93,1.53134,0.57515,0.00448,0.87585,0.83335,0.8735,0.42825,1.864,0.73898,0.00722,0.000511769,0.000511769,0.000511769
