epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2300,0.79607,0.7231,0.20534,0.79024,0.73314,0.78765,0.48687,0.3946,0.49412,0.12828,0.00333283,0.00333283,0.00333283
2,4484.59,0.78208,0.53857,0.15583,0.77118,0.8012,0.79549,0.51342,0.35498,0.4728,0.10175,0.00660017,0.00660017,0.00660017
3,6644.45,0.86005,0.53071,0.17289,0.78061,0.70394,0.75345,0.41775,0.53025,0.51468,0.11917,0.00980151,0.00980151,0.00980151
4,8798.39,0.89018,0.52976,0.18323,0.78278,0.76122,0.79161,0.50148,0.38517,0.5158,0.10066,0.009703,0.009703,0.009703
5,10957.3,0.87687,0.52543,0.17656,0.79302,0.74945,0.79439,0.50172,0.41284,0.51653,0.10186,0.009604,0.009604,0.009604
6,13110.5,0.85949,0.52579,0.17029,0.81187,0.74287,0.80312,0.52413,0.38684,0.48089,0.0924,0.009505,0.009505,0.009505
7,15263.7,0.8366,0.5301,0.16569,0.81737,0.7308,0.82099,0.55616,0.32848,0.50502,0.08501,0.009406,0.009406,0.009406
8,17416.6,0.83397,0.52588,0.16295,0.81311,0.78127,0.84034,0.56885,0.33046,0.47292,0.08509,0.009307,0.009307,0.009307
9,19573.3,0.81437,0.52767,0.15896,0.82108,0.7759,0.84121,0.54321,0.37758,0.46528,0.08583,0.009208,0.009208,0.009208
10,21729,0.80654,0.53178,0.15684,0.82157,0.79338,0.84641,0.56696,0.33684,0.47423,0.08403,0.009109,0.009109,0.009109
11,23882.1,0.81075,0.52633,0.15481,0.82583,0.77945,0.84691,0.59106,0.30365,0.4517,0.07822,0.00901,0.00901,0.00901
12,26036.5,0.80588,0.52689,0.15359,0.81066,0.78353,0.84524,0.57566,0.33649,0.44766,0.08058,0.008911,0.008911,0.008911
13,28193,0.79673,0.52994,0.15033,0.82403,0.77754,0.84555,0.59011,0.30502,0.44346,0.07773,0.008812,0.008812,0.008812
14,30344,0.79603,0.52947,0.1507,0.82087,0.78484,0.84736,0.59804,0.29092,0.43963,0.07595,0.008713,0.008713,0.008713
15,32499.1,0.79992,0.5307,0.15191,0.81844,0.78431,0.84686,0.59317,0.30514,0.43759,0.0759,0.008614,0.008614,0.008614
16,34657.8,0.78707,0.52991,0.14767,0.81751,0.78041,0.84173,0.58983,0.31343,0.43588,0.07516,0.008515,0.008515,0.008515
17,36823.3,0.79051,0.52752,0.14913,0.82983,0.77201,0.84126,0.58854,0.32085,0.43569,0.07586,0.008416,0.008416,0.008416
18,38976.3,0.78351,0.53138,0.1475,0.82335,0.77492,0.83992,0.58705,0.3266,0.43857,0.07646,0.008317,0.008317,0.008317
19,41125.4,0.79285,0.52873,0.15019,0.81511,0.78535,0.84272,0.58332,0.33854,0.43957,0.07861,0.008218,0.008218,0.008218
